Item Slot,Slots,Type,Phase,Heroic,N,Name,Item Number,Min Damage,Max Damage,Speed,Strength,Agility,Stamina,Intelligence,Spirit,Attack Power,Hit Rating,Crit Rating,Haste Rating,Armor Pen,Expertise Rating,Armor,Defense Rating,Dodge Rating,Parry Rating,Meta Gem,Red Gem,Blue Gem,Yellow Gem,Socket Bonus Amount,Socket Bonus Type,Proc,Trinket Bonus Amount,Bonus Type
1handed,mainhand,mace,0,FALSE,Titansteel Bonecrusher,Titansteel Bonecrusher,41383,251,467,2.5,0,0,59,0,0,140,0,0,0,0,29,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,sword,0,FALSE,Grasscutter,Grasscutter,40703,160,299,1.6,0,25,39,0,0,76,0,38,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,0,FALSE,Krol Cleaver,Krol Cleaver,43611,261,485,2.6,0,36,42,0,0,70,0,0,0,28,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,0,FALSE,Titansteel Destroyer,Titansteel Destroyer,41257,507,761,3.4,124,0,105,0,0,0,54,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,sword,0,FALSE,Runeblade of Demonstrable Power,Runeblade of Demonstrable Power,44249,474,711,3.5,0,63,0,0,0,168,0,67,33,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,sword,0,FALSE,Sword of Justice,Sword of Justice,37653,514,722,3.8,70,0,105,0,0,0,0,77,0,0,0,0,0,0,0,0,1,,,4,Crit Rating,,,
2handed,2handed,polearm,0,FALSE,Whale-Stick Harpoon,Whale-Stick Harpoon,44053,449,675,3.6,0,69,103,0,0,100,40,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,polearm,0,FALSE,Icier Barbed Spear,Icier Barbed Spear,41815,372,558,3.2,0,62,52,0,0,88,0,61,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,0,FALSE,Mojo Masked Crusher,Mojo Masked Crusher,37733,457,762,3.6,78,45,84,0,0,0,0,0,77,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,0,FALSE,Hammer of Grief,Hammer of Grief,38618,487,731,3.6,0,0,117,0,0,156,0,77,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,0,FALSE,Argent Skeleton Crusher,Argent Skeleton Crusher,44244,487,731,3.6,84,0,100,0,0,0,0,0,0,77,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,0,FALSE,Saronite Mindcrusher,Saronite Mindcrusher,41188,428,643,3.6,88,0,57,0,0,0,25,38,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,axe,0,FALSE,Colossal Skull-Clad Cleaver,Colossal Skull-Clad Cleaver,37852,507,761,3.4,90,54,94,0,0,0,0,0,90,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,axe,0,FALSE,Edge of Oblivion,Edge of Oblivion,43281,487,731,3.6,80,0,117,0,0,0,0,0,74,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,axe,0,FALSE,Wyrmclaw Battleaxe,Wyrmclaw Battleaxe,36962,437,656,3.5,0,69,60,0,0,138,0,0,50,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,0,FALSE,Crypt Lord's Deft Blade,Crypt Lord's Deft Blade,37235,227,423,2.5,0,19,0,0,0,66,24,0,33,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,0,FALSE,Reaper of Dark Souls,Reaper of Dark Souls,44250,281,422,2.7,0,0,24,0,0,66,33,26,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,polearm,1,FALSE,Wraith Spear,Wraith Spear,39221,552,829,3.7,0,90,79,0,0,126,0,68,45,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Widow's Fury,Widow's Fury,39730,175,326,1.6,0,43,42,0,0,62,0,29,25,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,fist weapon,1,FALSE,Unholy Persuader,Unholy Persuader,44241,210,390,2.5,0,30,46,0,0,0,0,0,0,29,0,0,0,0,0,,,,,0,Stamina,,,
1handed,mainhand,mace,1,FALSE,Totemic Purification Rod,Totemic Purification Rod,44052,86,274,2.6,0,0,37,0,0,0,0,0,32,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Torment of the Banished,Torment of the Banished,39291,261,485,2.6,0,27,39,0,0,76,0,26,22,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,fist weapon,1,FALSE,The Stray,The Stray,39468,261,485,2.6,0,22,39,0,0,76,27,0,26,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,axe,1,FALSE,The Key,The Key,37871,237,440,2.6,0,34,28,0,0,64,24,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,mace,1,FALSE,The Jawbone,The Jawbone,39758,586,880,3.6,101,0,108,0,0,0,0,0,99,0,59,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,The Interrogator,The Interrogator,37255,145,271,1.6,0,0,48,0,0,70,32,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,offhand,fist weapon,1,FALSE,The Hand of Nerub,The Hand of Nerub,40239,175,326,1.6,0,33,42,0,0,86,21,29,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,mace,1,FALSE,Stormstrike Mace,Stormstrike Mace,43407,237,440,2.6,0,0,36,0,0,62,0,42,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,axe,1,FALSE,Stalactite Chopper,Stalactite Chopper,44192,237,440,2.6,0,0,49,0,0,32,0,34,0,26,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,mace,1,FALSE,Split Greathammer,Split Greathammer,40264,175,326,1.6,0,43,42,0,0,66,0,29,0,0,21,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Slayer of the Lifeless,Slayer of the Lifeless,39344,150,280,1.5,29,0,57,0,0,0,19,0,0,0,0,0,25,26,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Silent Crusader,Silent Crusader,40407,274,509,2.5,0,21,49,0,0,86,31,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
2handed,2handed,polearm,1,FALSE,Saliva Corroded Pike,Saliva Corroded Pike,43409,487,731,3.6,86,0,135,0,0,0,0,71,0,0,0,0,0,0,0,,,,,0,Stamina,,,
1handed,1handed,sword,1,FALSE,Red Sword of Courage,Red Sword of Courage,37401,160,299,1.6,25,0,58,0,0,0,26,0,0,0,0,0,38,0,0,,,,,0,Stamina,,,
1handed,offhand,fist weapon,1,FALSE,Pride,Pride,40704,251,467,2.5,0,0,39,0,0,76,50,0,0,0,0,0,0,0,0,,,,,0,Stamina,,,
