,Name,ID Num,Item Slot,Armor,Strength,Agility,Stamina,Crit,Hit,Attack Power,Haste,Armor Pen,Expertise,Defense,Dodge,Parry,Socket Bonus Type,Socket Bonus Amount,Wep Type,Wep Min Damage,Wep Max Damage,Wep Speed,Phase,Heroic
0,Deadly Gladiator's Dreadplate Gauntlets,40806,Hands,1436,67,0,111,32,0,50,0,0,0,0,0,0,Critical Strike Rating,4,Non-Wep,0,0,0,1,False
1,Furious Gladiator's Dreadplate Gauntlets,40809,Hands,1480,82,0,133,39,0,50,0,0,0,0,0,0,Critical Strike Rating,4,Non-Wep,0,0,0,2,False
2,Relentless Gladiator's Dreadplate Gauntlets,40811,Hands,1579,99,0,160,63,0,50,0,0,0,0,0,0,Critical Strike Rating,4,Non-Wep,0,0,0,3,False
3,Deadly Gladiator's Dreadplate Legguards,40845,Legs,2011,85,0,150,51,0,50,0,0,0,0,0,0,Strength,6,Non-Wep,0,0,0,1,False
4,Furious Gladiator's Dreadplate Legguards,40848,Legs,2073,105,0,180,64,0,50,0,0,0,0,0,0,Strength,6,Non-Wep,0,0,0,2,False
5,Relentless Gladiator's Dreadplate Legguards,40851,Legs,2210,128,0,215,80,0,50,0,0,0,0,0,0,Strength,6,Non-Wep,0,0,0,3,False
6,Deadly Gladiator's Girdle of Triumph,40879,Waist,1293,67,0,111,42,0,0,0,0,0,0,0,0,Strength,4,Non-Wep,0,0,0,1,False
7,Deadly Gladiator's Greaves of Triumph,40880,Feet,1580,67,0,111,42,0,0,0,0,0,0,0,0,Resilience Rating,4,Non-Wep,0,0,0,1,False
8,Furious Gladiator's Girdle of Triumph,40881,Waist,1321,77,0,126,49,0,0,0,0,0,0,0,0,Strength,4,Non-Wep,0,0,0,2,False
9,Furious Gladiator's Greaves of Triumph,40882,Feet,1614,77,0,126,49,0,0,0,0,0,0,0,0,Resilience Rating,4,Non-Wep,0,0,0,2,False
10,Relentless Gladiator's Girdle of Triumph,40883,Waist,1391,93,0,151,59,0,0,0,0,0,0,0,0,Strength,4,Non-Wep,0,0,0,3,False
11,Relentless Gladiator's Greaves of Triumph,40884,Feet,1700,93,0,151,59,0,0,0,0,0,0,0,0,Resilience Rating,4,Non-Wep,0,0,0,3,False
12,Deadly Gladiator's Bracers of Triumph,40888,Wrist,1005,56,0,84,38,0,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,1,False
13,Furious Gladiator's Bracers of Triumph,40889,Wrist,1027,63,0,94,42,0,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,2,False
14,Relentless Gladiator's Bracers of Triumph,40890,Wrist,1082,76,0,114,50,0,0,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,3,False
15,Deadly Gladiator's Pendant of Triumph,42027,Neck,0,0,0,84,38,0,112,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,1,False
16,Deadly Gladiator's Pendant of Victory,42028,Neck,0,0,0,84,0,38,112,0,0,0,0,0,0,Stamina,0,Non-Wep,0,0,0,1,False
